Time,Type,Amount,Asset,Symbol,Transaction ID
21-02-09 19:39:13,COMMISSION,-0.19382799,USDT,ETHUSDT,90061328111542
21-02-09 19:39:13,REALIZED_PNL,4.56646,USDT,ETHUSDT,90061328111541
21-02-09 19:39:21,COMMISSION,-0.75411406,USDT,ETHUSDT,90060328111772
21-02-09 20:00:30,COMMISSION,-0.36252357,USDT,ETHUSDT,90061328134097
21-02-09 20:00:30,REALIZED_PNL,-0.14739,USDT,ETHUSDT,90061328134098
21-02-09 20:00:30,COMMISSION,-0.1739514,USDT,ETHUSDT,90061328134100
21-02-09 20:00:30,REALIZED_PNL,-2.21859,USDT,ETHUSDT,90061328134100
21-02-09 20:00:30,REALIZED_PNL,-2.649,USDT,ETHUSDT,90061328134099
21-02-09 20:00:30,COMMISSION,-0.2095704,USDT,ETHUSDT,90061328134099
21-02-09 20:00:30,REALIZED_PNL,-4.49973,USDT,ETHUSDT,90061328134097
21-02-09 20:00:30,COMMISSION,-0.01187456,USDT,ETHUSDT,90061328134098
21-02-10 11:00:19,TRANSFER,96.43586206,USDT,,41002569797
21-02-10 11:02:09,COMMISSION,-0.76695157,USDT,BTCUSDT,90031486566874
21-02-10 11:02:09,COMMISSION,-0.84177612,USDT,BTCUSDT,90031486566873
21-02-10 11:02:09,COMMISSION,-0.37412272,USDT,BTCUSDT,90031486566872
21-02-10 11:02:13,COMMISSION,-0.05613271,USDT,BTCUSDT,90031486566963
21-02-10 14:32:06,COMMISSION,-2.0065592,USDT,BTCUSDT,90030487030078
21-02-10 14:32:06,REALIZED_PNL,-81.05981999,USDT,BTCUSDT,90030487030078
21-02-10 14:32:36,COMMISSION,-0.09172452,USDT,BTCUSDT,90031487037087
21-02-10 14:32:36,COMMISSION,-0.25681348,USDT,BTCUSDT,90031487037086
21-02-10 14:32:36,COMMISSION,-0.01834352,USDT,BTCUSDT,90031487037085
21-02-10 14:39:34,COMMISSION,-0.36031192,USDT,BTCUSDT,90030487105386
21-02-10 14:39:34,REALIZED_PNL,-16.42402,USDT,BTCUSDT,90030487105386
21-02-10 16:19:46,COMMISSION,-0.09164,USDT,BTCUSDT,90030487471349
21-02-10 18:00:00,FUNDING_FEE,0.24940984,USDT,BTCUSDT,411914214285168642
21-02-10 18:12:37,COMMISSION,-0.08904596,USDT,BTCUSDT,90031488084470
21-02-10 18:12:37,REALIZED_PNL,6.4851,USDT,BTCUSDT,90031488084470
21-02-10 18:13:05,COMMISSION,-0.42726028,USDT,BTCUSDT,90030488085830
21-02-10 18:17:10,REALIZED_PNL,-6.03504,USDT,BTCUSDT,90031488106713
21-02-10 18:17:10,INSURANCE_CLEAR,-2.08290547,USDT,BTCUSDT,4119185288694743040
21-02-10 20:49:01,TRANSFER,96.46482758,USDT,,41064663452
21-02-10 21:05:52,COMMISSION,-0.27026982,USDT,BTCUSDT,90030488471398
21-02-10 21:05:52,COMMISSION,-1.24324117,USDT,BTCUSDT,90030488471399
21-02-10 21:05:52,COMMISSION,-1.27927714,USDT,BTCUSDT,90030488471400
21-02-11 02:00:00,FUNDING_FEE,5.33491198,USDT,BTCUSDT,412035007912529932
21-02-11 04:06:18,COMMISSION,-2.77264,USDT,BTCUSDT,90031489169427
21-02-11 04:06:18,REALIZED_PNL,50.37035,USDT,BTCUSDT,90031489169427
21-02-11 04:06:35,COMMISSION,-4.20178025,USDT,BTCUSDT,90030489170000
